food_name,serving_size_g,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,calcium_mg,iron_mg,vitamin_a_mcg,vitamin_c_mg,category,meal_type,vegetarian,vegan,gluten_free
chicken_razala,250,365,32.8,8.5,22.5,2.8,5.2,1180,78,3.2,245,15,curry,dinner,false,false,true
chicken_tikka,150,285,38.5,3.2,12.8,1.1,2.1,980,42,2.8,185,8,meat,dinner,false,false,true
chicken_tikka_masala,280,395,35.2,15.8,24.5,3.2,11.2,1350,128,3.8,325,25,curry,dinner,false,false,true
chhena_kheeri,180,225,8.5,35.2,6.2,1.2,32.8,75,158,1.5,95,5,dessert,dessert,true,false,true
dal_baati_churma,320,485,15.8,68.5,16.2,8.5,22.8,720,125,5.2,285,18,combination,lunch,true,false,false
dal_makhani,200,285,14.5,28.2,12.8,6.8,8.5,850,185,4.8,225,12,legume,dinner,true,false,true
dal_puri,80,195,5.2,28.5,7.2,3.2,2.1,420,38,2.2,25,2,bread,lunch,true,true,false
doodhpak,200,245,7.8,38.5,6.8,1.2,35.8,88,195,1.8,165,8,dessert,dessert,true,false,true
double_ka_meetha,150,285,6.2,45.8,9.5,2.1,38.5,165,95,2.2,125,5,dessert,dessert,true,false,false
dum_aloo,180,195,4.8,28.5,7.2,4.2,8.8,450,58,2.5,285,28,vegetable,lunch,true,true,true
fish_curry,220,245,28.5,8.2,12.5,2.8,5.8,985,85,2.8,165,15,curry,dinner,false,false,true
gavvalu,45,165,3.2,24.8,6.2,1.8,14.5,25,32,1.4,8,1,dessert,snack,true,false,true
ghevar,70,215,4.2,32.8,8.2,1.5,25.8,35,48,1.8,45,2,dessert,dessert,true,false,false
gulab_jamun,50,195,3.8,32.5,6.8,1.2,28.5,35,65,1.5,85,1,dessert,dessert,true,false,false
imarti,60,185,3.5,28.5,7.2,1.8,22.8,25,42,1.6,18,2,dessert,snack,true,false,true
jalebi,55,195,2.8,35.2,5.8,0.8,32.5,22,25,1.2,12,1,dessert,snack,true,false,false
kachori,75,225,6.2,25.8,12.5,3.2,3.5,520,45,2.8,38,5,snack,snack,true,false,false
kadai_paneer,200,285,15.8,18.5,18.2,3.8,12.5,780,285,2.8,385,28,curry,dinner,true,false,true
kadhi_pakora,250,195,8.5,22.8,8.2,4.2,8.8,685,158,2.5,185,18,curry,lunch,true,false,false
kajjikaya,45,175,3.2,26.5,6.8,2.1,18.5,18,35,1.6,12,1,dessert,snack,true,false,true
kakinada_khaja,40,168,2.8,24.2,7.2,1.2,16.8,28,25,1.2,8,0,dessert,snack,true,false,false
kalakand,80,185,6.8,28.5,5.2,0.8,25.8,65,158,1.2,95,3,dessert,dessert,true,false,true
karela_bharta,160,125,3.8,15.8,6.2,5.8,4.2,385,48,2.8,165,85,vegetable,lunch,true,true,true
kofta,120,245,12.8,15.2,16.5,2.8,8.5,680,85,3.2,125,15,curry,dinner,false,false,true
kuzhi_paniyaram,80,165,4.2,22.8,6.8,2.1,3.5,320,58,2.2,25,5,snack,breakfast,true,false,false
lassi,200,145,5.8,22.5,3.8,0.2,20.8,125,185,0.8,125,8,beverage,snack,true,false,true
ledikeni,60,185,4.2,28.5,6.8,0.8,24.8,42,78,1.4,68,2,dessert,dessert,true,false,false
litti_chokha,180,285,8.5,45.8,8.2,6.2,8.5,520,68,3.8,285,35,combination,lunch,true,true,false
lyangcha,55,175,3.5,26.8,6.2,1.2,22.5,32,58,1.4,48,2,dessert,dessert,true,false,false
maach_jhol,220,225,26.8,8.5,10.2,2.8,6.2,920,85,2.8,185,18,curry,dinner,false,false,true
makki_di_roti,80,195,5.8,38.5,2.8,4.2,2.1,285,32,1.8,125,5,bread,lunch,true,true,true
malapua,85,215,4.8,32.8,7.8,1.5,26.5,48,85,1.8,95,3,dessert,dessert,true,false,false
misi_roti,90,225,8.2,35.8,6.2,5.2,3.8,420,68,3.2,185,12,bread,lunch,true,true,false
mutter_paneer,200,245,14.5,18.2,14.8,4.8,12.5,720,258,2.8,285,38,curry,dinner,true,false,true
mysore_pak,50,195,3.2,28.5,8.2,1.2,24.8,35,42,1.4,65,1,dessert,dessert,true,false,true
naan,120,285,8.5,48.2,6.8,2.8,3.5,680,85,2.8,25,2,bread,lunch,true,false,false
navrattan_korma,220,225,8.5,28.5,9.2,5.8,18.5,650,128,3.2,485,45,curry,dinner,true,false,true
palak_paneer,200,195,12.8,12.5,12.2,4.8,8.5,620,285,5.2,885,28,curry,dinner,true,false,true
paneer_butter_masala,220,315,16.8,15.2,22.5,3.2,12.8,850,298,2.8,385,22,curry,dinner,true,false,true
phirni,150,185,5.2,32.8,3.8,1.2,28.5,65,125,1.2,85,5,dessert,dessert,true,false,true
pithe,70,158,3.8,28.2,3.5,2.1,18.5,25,45,1.8,65,8,dessert,snack,true,false,false
poha,150,185,4.2,35.8,3.2,2.8,4.5,320,28,2.8,125,18,rice,breakfast,true,true,true
pootharekulu,35,145,2.5,22.8,5.2,1.2,16.8,15,22,1.2,8,0,dessert,snack,true,false,true
qubani_ka_meetha,180,165,2.8,38.5,2.2,4.2,32.8,25,48,2.2,485,15,dessert,dessert,true,true,true
rabri,150,225,7.2,28.5,8.5,0.2,26.8,85,185,1.2,125,5,dessert,dessert,true,false,true
ras_malai,100,195,6.8,28.5,6.2,0.8,26.8,65,158,1.2,95,3,dessert,dessert,true,false,true
rasgulla,80,165,4.2,35.2,1.2,0.2,32.8,42,85,0.8,58,2,dessert,dessert,true,false,true
rajma,200,245,15.2,38.5,4.8,12.5,8.5,720,85,5.2,85,22,legume,lunch,true,true,true
samosa,75,245,4.8,25.8,14.2,3.2,3.5,520,42,2.2,85,8,snack,snack,true,false,false
shankarpali,40,155,2.8,24.2,5.8,1.5,14.2,22,28,1.2,8,0,dessert,snack,true,false,false
sheer_korma,200,285,8.5,42.8,8.2,2.8,35.8,85,158,2.2,125,12,dessert,dessert,true,false,false
sheera,150,245,4.2,48.5,5.2,2.1,28.5,65,48,2.8,125,8,dessert,dessert,true,false,true
shrikhand,120,185,6.8,32.5,2.8,0.2,28.5,85,185,0.8,85,5,dessert,dessert,true,false,true
sohan_halwa,60,225,4.2,32.8,9.2,2.8,28.5,45,85,2.2,125,5,dessert,dessert,true,false,true
sohan_papdi,50,195,4.8,28.5,7.8,1.8,22.8,38,68,1.8,85,2,dessert,dessert,true,false,true
sutar_feni,45,168,3.2,26.5,6.2,1.5,18.8,25,32,1.4,12,1,dessert,snack,true,false,true
unni_appam,60,175,3.8,28.2,5.8,2.1,18.5,35,48,2.2,65,8,dessert,snack,true,false,false
upma,200,185,5.2,32.8,4.8,3.2,4.5,520,48,2.8,85,15,grain,breakfast,true,true,true
